Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,CPU_speed,CPU_core,Resolution_X,Resolution_Y,Pixel_Count,SSD,HDD,GPU_brand,Company_match,avg_brand_spec_rating
lenovo,gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,nvidia geforce gtx 1050,windows 10,2.5,53226.72,2.5,i5,1920.0,1080.0,2073600.0,128.0,1024.0,nvidia,lenovo,68.06611570247934
hp,notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,amd radeon r2,no os,1.86,13746.24,1.5,amd_e,1366.0,768.0,1049088.0,0.0,500.0,amd,hp,69.42537313432835
dell,2 in 1 convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,intel uhd graphics 620,windows 10,1.62,43636.32,1.6,i5,1920.0,1080.0,2073600.0,256.0,0.0,intel,dell,68.87931034482759
hp,ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,intel hd graphics 620,windows 10,1.91,35111.52,1.8,i7,1920.0,1080.0,2073600.0,256.0,0.0,intel,hp,69.42537313432835
dell,notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1TB HDD,intel hd graphics 520,windows 10,2.3,22305.1392,2.0,i3,1366.0,768.0,1049088.0,0.0,1024.0,intel,dell,68.87931034482759
apple,ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,128GB Flash Storage,intel hd graphics 6000,mac os x,1.35,58554.72,1.6,i5,1440.0,900.0,1296000.0,0.0,0.0,intel,apple,66.75
dell,notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,amd radeon 530,windows 10,2.2,42624.0,1.6,i5,1920.0,1080.0,2073600.0,256.0,0.0,amd,dell,68.87931034482759
dell,ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,256GB SSD +  256GB SSD,intel uhd graphics 620,windows 10,1.88,69157.44,1.9,i7,1920.0,1080.0,2073600.0,256.0,0.0,intel,dell,68.87931034482759
hp,notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,nvidia geforce 930mx,windows 10,2.5,47738.88,1.6,i5,1920.0,1080.0,2073600.0,0.0,1024.0,nvidia,hp,69.42537313432835
asus,notebook,14,1366x768,AMD E-Series E2-6110 1.5GHz,2,32GB Flash Storage,amd radeon r2,windows 10,1.65,10602.72,1.5,amd_e,1366.0,768.0,1049088.0,0.0,0.0,amd,asus,69.58407079646018
hp,notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,500GB HDD,amd radeon 530,windows 10,2.71,23389.92,2.5,amd_a6,1920.0,1080.0,2073600.0,0.0,500.0,amd,hp,69.42537313432835
dell,ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,512GB SSD,intel uhd graphics 620,windows 10,1.2,99580.32,1.8,i7,3200.0,1800.0,5760000.0,512.0,0.0,intel,dell,68.87931034482759
apple,ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,256GB Flash Storage,intel hd graphics 6000,mac os x,1.35,53173.44,1.6,i5,1440.0,900.0,1296000.0,0.0,0.0,intel,apple,66.75
lenovo,notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,intel hd graphics 500,windows 10,1.44,13266.72,1.1,other,1366.0,768.0,1049088.0,0.0,0.0,intel,lenovo,68.06611570247934
acer,notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4,1TB HDD,intel hd graphics 620,linux,2.1,19553.76,2.7,i3,1366.0,768.0,1049088.0,0.0,1024.0,intel,acer,68.36734693877551
dell,notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,amd radeon 530,windows 10,2.8,52161.12,1.6,i5,1920.0,1080.0,2073600.0,128.0,1024.0,amd,dell,68.87931034482759
hp,notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,1TB HDD,intel hd graphics 620,windows 10,1.86,26037.4032,2.5,i5,1366.0,768.0,1049088.0,0.0,1024.0,intel,hp,69.42537313432835
hp,notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,nvidia geforce 930mx,windows 10,2.1,46833.12,1.6,i5,1920.0,1080.0,2073600.0,256.0,0.0,nvidia,hp,69.42537313432835
asus,notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,intel hd graphics 620,linux,2.0,20725.92,2.0,i3,1920.0,1080.0,2073600.0,0.0,1024.0,intel,asus,69.58407079646018
dell,gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,nvidia geforce gtx 1060,windows 10,2.65,79866.72,2.8,i7,1920.0,1080.0,2073600.0,256.0,1024.0,nvidia,dell,68.87931034482759
asus,notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1TB HDD,nvidia geforce 940mx,linux,2.3,27864.9072,2.5,i5,1366.0,768.0,1049088.0,0.0,1024.0,nvidia,asus,69.58407079646018
acer,notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256GB SSD,intel uhd graphics 620,windows 10,2.2,36336.96,1.6,i5,1920.0,1080.0,2073600.0,256.0,0.0,intel,acer,68.36734693877551
dell,2 in 1 convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12,1TB HDD,nvidia geforce 150mx,windows 10,2.77,53226.72,1.6,i5,1920.0,1080.0,2073600.0,0.0,1024.0,nvidia,dell,68.87931034482759
apple,ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8,256GB SSD,intel iris graphics 540,macos,1.37,75604.32,2.0,i5,2560.0,1600.0,4096000.0,256.0,0.0,intel,apple,66.75
asus,gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8,256GB SSD +  1TB HDD,amd radeon rx 580,windows 10,3.2,69210.72,3.0,other,1920.0,1080.0,2073600.0,256.0,1024.0,amd,asus,69.58407079646018
dell,notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB SSD,amd radeon r5 m430,windows 10,2.3,34045.92,2.5,i5,1920.0,1080.0,2073600.0,256.0,0.0,amd,dell,68.87931034482759
asus,notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,nvidia geforce 920mx,windows 10,2.8,24828.48,1.1,other,1366.0,768.0,1049088.0,0.0,1024.0,nvidia,asus,69.58407079646018
acer,notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,nvidia geforce mx150,windows 10,2.2,44808.48,1.8,i7,1920.0,1080.0,2073600.0,256.0,0.0,nvidia,acer,68.36734693877551
hp,notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,256GB SSD,amd radeon r4 graphics,windows 10,1.86,21231.5472,2.5,amd_a6,1920.0,1080.0,2073600.0,256.0,0.0,amd,hp,69.42537313432835
hp,notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,intel uhd graphics 620,windows 10,1.49,58767.84,1.8,i7,1920.0,1080.0,2073600.0,512.0,0.0,intel,hp,69.42537313432835
acer,notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1TB HDD,intel hd graphics 620,windows 10,2.4,20459.52,2.4,i3,1366.0,768.0,1049088.0,0.0,1024.0,intel,acer,68.36734693877551
dell,notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,amd radeon 520,windows 10,2.13,40908.384,1.8,i7,1920.0,1080.0,2073600.0,256.0,0.0,amd,dell,68.87931034482759
hp,notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128GB SSD,intel hd graphics 520,windows 10,1.91,23389.92,2.0,i3,1920.0,1080.0,2073600.0,128.0,0.0,intel,hp,69.42537313432835
asus,notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,256GB SSD,intel hd graphics 620,windows 10,2.0,31232.2032,2.5,i5,1366.0,768.0,1049088.0,256.0,0.0,intel,asus,69.58407079646018
msi,gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,nvidia geforce gtx 1070,windows 10,2.43,130482.72,2.8,i7,1920.0,1080.0,2073600.0,256.0,2048.0,nvidia,msi,72.27118644067797
asus,notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,intel hd graphics 520,linux,2.0,22111.2,2.0,i3,1920.0,1080.0,2073600.0,256.0,0.0,intel,asus,69.58407079646018
dell,notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,amd radeon 530,windows 10,2.8,69210.72,1.8,i7,1920.0,1080.0,2073600.0,256.0,2048.0,amd,dell,68.87931034482759
dell,ultrabook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,intel uhd graphics 620,windows 10,1.7,46833.12,1.6,i5,1920.0,1080.0,2073600.0,256.0,0.0,intel,dell,68.87931034482759
lenovo,notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8,256GB SSD,intel hd graphics 620,no os,1.7,31914.72,2.7,i3,1920.0,1080.0,2073600.0,256.0,0.0,intel,lenovo,68.06611570247934
asus,notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,intel uhd graphics 620,windows 10,1.4,50136.48,1.6,i5,1920.0,1080.0,2073600.0,256.0,0.0,intel,asus,69.58407079646018
hp,notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,intel hd graphics 620,windows 10,1.86,36763.2,2.5,i5,1920.0,1080.0,2073600.0,256.0,0.0,intel,hp,69.42537313432835
asus,ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,nvidia geforce gtx 1050 ti,windows 10,1.8,105654.24,2.8,i7,1920.0,1080.0,2073600.0,512.0,0.0,nvidia,asus,69.58407079646018
hp,notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB HDD,amd radeon 520,windows 10,1.86,23373.4032,2.0,i3,1366.0,768.0,1049088.0,0.0,500.0,amd,hp,69.42537313432835
hp,notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,32GB SSD,intel hd graphics 400,windows 10,1.44,12201.12,1.6,other,1366.0,768.0,1049088.0,32.0,0.0,intel,hp,69.42537313432835
lenovo,notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD,intel hd graphics 620,windows 10,1.9,29250.72,2.5,i5,1920.0,1080.0,2073600.0,0.0,1024.0,intel,lenovo,68.06611570247934
asus,gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,1TB HDD,nvidia geforce gtx 1050 ti,linux,3.0,50562.72,2.8,i7,1920.0,1080.0,2073600.0,0.0,1024.0,nvidia,asus,69.58407079646018
dell,ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,64,256GB SSD,amd radeon 530,windows 10,1.4,50882.4,1.8,i7,1920.0,1080.0,2073600.0,256.0,0.0,amd,dell,68.87931034482759
dell,notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,amd radeon 530,windows 10,2.2,46353.6,1.8,i7,1920.0,1080.0,2073600.0,256.0,0.0,amd,dell,68.87931034482759
msi,gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,nvidia geforce gtx 1050,windows 10,2.7,58341.6,2.5,i5,1920.0,1080.0,2073600.0,128.0,1024.0,nvidia,msi,72.27118644067797
acer,notebook,14,1366x768,Intel Core i3 6006U 2GHz,8,1TB HDD,intel hd graphics 520,windows 10,2.1,20725.92,2.0,i3,1366.0,768.0,1049088.0,0.0,1024.0,intel,acer,68.36734693877551
asus,gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,nvidia geforce gtx 1050,windows 10,2.2,50562.72,2.8,i7,1920.0,1080.0,2073600.0,0.0,1024.0,nvidia,asus,69.58407079646018
lenovo,notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,2TB HDD,intel hd graphics 620,no os,2.2,27652.32,2.5,i5,1920.0,1080.0,2073600.0,0.0,2048.0,intel,lenovo,68.06611570247934
dell,notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,intel uhd graphics 620,windows 10,2.02,45554.4,1.8,i7,1920.0,1080.0,2073600.0,128.0,1024.0,intel,dell,68.87931034482759
acer,notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1TB HDD,nvidia geforce mx130,windows 10,2.2,28238.4,2.7,i3,1920.0,1080.0,2073600.0,0.0,1024.0,nvidia,acer,68.36734693877551
hp,notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,nvidia geforce 930mx,windows 10,2.5,52054.56,1.6,i5,1920.0,1080.0,2073600.0,128.0,1024.0,nvidia,hp,69.42537313432835
dell,ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,intel uhd graphics 620,windows 10,1.88,58403.4048,1.6,i5,1920.0,1080.0,2073600.0,256.0,0.0,intel,dell,68.87931034482759
apple,ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8,512GB SSD,intel hd graphics 615,macos,0.92,80452.8,1.3,i5,2304.0,1440.0,3317760.0,512.0,0.0,intel,apple,66.75
hp,notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,intel hd graphics 620,windows 10,1.63,45820.8,1.6,i5,1920.0,1080.0,2073600.0,256.0,0.0,intel,hp,69.42537313432835
lenovo,notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,128GB SSD,amd r4 graphics,windows 10,2.2,21258.72,2.5,amd_a6,1920.0,1080.0,2073600.0,128.0,0.0,amd,lenovo,68.06611570247934
acer,notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1TB HDD,amd radeon r5,windows 10,2.1,21045.6,3.0,amd_a9,1366.0,768.0,1049088.0,0.0,1024.0,amd,acer,68.36734693877551
dell,gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,nvidia geforce gtx 1050 ti,windows 10,2.65,71874.72,2.8,i7,1920.0,1080.0,2073600.0,128.0,1024.0,nvidia,dell,68.87931034482759
hp,ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,nvidia geforce gtx 940mx,windows 10,1.83,37242.72,1.8,i7,1920.0,1080.0,2073600.0,256.0,0.0,nvidia,hp,69.42537313432835
hp,notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,intel hd graphics 620,windows 10,1.96,31914.1872,2.5,i5,1920.0,1080.0,2073600.0,256.0,0.0,intel,hp,69.42537313432835
asus,gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,nvidia geforce gtx 1060,windows 10,2.2,77202.72,2.8,i7,1920.0,1080.0,2073600.0,128.0,1024.0,nvidia,asus,69.58407079646018
dell,ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,intel uhd graphics 620,windows 10,1.21,87858.72,1.8,i7,1920.0,1080.0,2073600.0,256.0,0.0,intel,dell,68.87931034482759
asus,gaming,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8,1TB HDD,amd radeon rx 560,windows 10,2.45,37242.72,3.0,amd_fx,1920.0,1080.0,2073600.0,0.0,1024.0,amd,asus,69.58407079646018
acer,notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,2,1TB HDD,nvidia geforce mx150,windows 10,2.2,36709.92,1.8,i7,1920.0,1080.0,2073600.0,0.0,1024.0,nvidia,acer,68.36734693877551
hp,notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,intel uhd graphics 620,windows 10,1.49,63776.16,1.8,i7,1920.0,1080.0,2073600.0,512.0,0.0,intel,hp,69.42537313432835
dell,gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,nvidia geforce gtx 1060,windows 10,2.65,63669.6,2.5,i5,1920.0,1080.0,2073600.0,256.0,0.0,nvidia,dell,68.87931034482759
asus,ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,intel hd graphics 620,windows 10,1.25,55890.72,2.7,i7,1920.0,1080.0,2073600.0,256.0,0.0,intel,asus,69.58407079646018
acer,2 in 1 convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,intel uhd graphics 620,windows 10,1.5,45128.16,1.6,i5,1920.0,1080.0,2073600.0,256.0,0.0,intel,acer,68.36734693877551
dell,notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1TB HDD,amd radeon r5 m430,linux,2.2,31962.672,2.7,i7,1920.0,1080.0,2073600.0,0.0,1024.0,amd,dell,68.87931034482759
dell,notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,amd radeon r5 m430,linux,2.2,25840.8,2.0,i3,1920.0,1080.0,2073600.0,256.0,0.0,amd,dell,68.87931034482759
asus,notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6,256GB SSD,nvidia geforce 920m,windows 10,2.0,30742.56,2.4,i3,1920.0,1080.0,2073600.0,256.0,0.0,nvidia,asus,69.58407079646018
hp,gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,128GB SSD +  1TB HDD,nvidia geforce gtx 1050,windows 10,2.62,66546.72,2.8,i7,1920.0,1080.0,2073600.0,128.0,1024.0,nvidia,hp,69.42537313432835
hp,notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,amd radeon 530,windows 10,1.91,38308.32,2.7,i7,1920.0,1080.0,2073600.0,256.0,0.0,amd,hp,69.42537313432835
hp,notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,amd radeon r2,windows 10,2.1,18594.72,1.5,amd_e,1920.0,1080.0,2073600.0,0.0,500.0,amd,hp,69.42537313432835
dell,notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,amd radeon 520,linux,2.2,34472.16,1.6,i5,1920.0,1080.0,2073600.0,0.0,1024.0,amd,dell,68.87931034482759
hp,ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,nvidia geforce mx150,windows 10,1.38,59620.32,2.7,i7,1920.0,1080.0,2073600.0,256.0,0.0,nvidia,hp,69.42537313432835
hp,notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256GB SSD,nvidia geforce 940mx,windows 10,1.58,35111.52,2.5,i5,1920.0,1080.0,2073600.0,256.0,0.0,nvidia,hp,69.42537313432835
lenovo,notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,intel hd graphics 520,windows 10,1.85,22105.872,2.0,i3,1920.0,1080.0,2073600.0,0.0,1024.0,intel,lenovo,68.06611570247934
asus,ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,nvidia geforce 940mx,windows 10,1.3,63563.04,2.7,i7,1920.0,1080.0,2073600.0,256.0,0.0,nvidia,asus,69.58407079646018
msi,gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,nvidia geforce gtx 1050 ti,windows 10,2.2,69210.72,2.8,i7,1920.0,1080.0,2073600.0,256.0,1024.0,nvidia,msi,72.27118644067797
lenovo,notebook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,intel hd graphics 620,windows 10,1.58,78854.4,2.7,i7,1920.0,1080.0,2073600.0,256.0,0.0,intel,lenovo,68.06611570247934
asus,ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  1TB HDD,nvidia geforce mx150,windows 10,1.5,67239.36,1.8,i7,1920.0,1080.0,2073600.0,256.0,1024.0,nvidia,asus,69.58407079646018
dell,ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8,256GB SSD,intel iris plus graphics 640,windows 10,1.23,73473.12,2.4,i7,3200.0,1800.0,5760000.0,256.0,0.0,intel,dell,68.87931034482759
lenovo,2 in 1 convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,intel hd graphics 620,windows 10,1.37,74538.72,2.5,i5,1920.0,1080.0,2073600.0,256.0,0.0,intel,lenovo,68.06611570247934
hp,notebook,14,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4,500GB HDD,intel uhd graphics 620,windows 10,1.63,38468.16,1.6,i5,1366.0,768.0,1049088.0,0.0,500.0,intel,hp,69.42537313432835
dell,ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,intel uhd graphics 620,windows 10,1.21,86793.12,1.6,i5,1920.0,1080.0,2073600.0,256.0,0.0,intel,dell,68.87931034482759
hp,notebook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,intel uhd graphics 620,windows 10,1.63,57755.52,1.8,i7,1920.0,1080.0,2073600.0,512.0,0.0,intel,hp,69.42537313432835
dell,notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD +  1TB HDD,nvidia geforce 940mx,windows 10,2.16,60223.9824,1.8,i7,1920.0,1080.0,2073600.0,256.0,1024.0,nvidia,dell,68.87931034482759
